"name","group","element","units","context","S434050","S434051","S434052","S434053","S434054","S434055","S434056","S434057","S434058","S434059","S434060","S434061","S434062","S434063","S434064","S434065","S434066","S434067","S434068","S434069","S434070","S434071","S434072","S434073","S434074","S434075","S434076","S434077","S434078","S434079","S434080","S434081","S434082","S434083","S434084","S434085","S434086","S434087","S434088","S434089","S434090","S434091","S434092","S434093","S434094","S434095","S434096","S434097","S434098","S434099","S434100","S434101","S434102","S434103","S434104","S434105","S434106","S434107","S434108","S434109","S434110","S434111","S434112","S434113","S434114","S434115","S434116","S434117","S434118","S434119","S434120","S434121","S434122","S434123","S434124"
Juncus sp.,AQVP,seed,NISP,,,1,5,13,15,4,3,,1,,3,1,2,1,,1,1,2,,1,3,,6,2,4,2,6,4,4,7,2,5,7,3,4,3,3,5,7,18,8,5,3,8,16,3,4,6,6,10,5,6,3,4,5,4,,4,,,2,3,1,4,4,4,12,5,8,13,22,14,150,340,368
Magnoliopsida undiff.,UPHE,bud scale,NISP,,1,2,,,,3,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
Magnoliopsida undiff.,UPHE,leaf,>2 mm,,,,1,1,,,1,,,,,,,,1,2,,,,1,,1,,,,3,,1,,,,,,,,,,,,,3,,1,1,6,,,,,2,,,23,,,,,,,,,,,,,,5,1,,,,,,,
Orchidaceae,UPHE,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,needle,NISP,,125,154,17,17,5,36,59,28,29,17,6,23,20,6,22,35,15,43,41,22,10,14,10,8,7,13,5,5,14,9,3,7,4,4,2,9,3,7,11,7,,12,5,4,7,1,5,7,3,9,4,1,1,4,6,4,4,6,4,5,5,8,16,19,3,1,4,1,2,2,1,1,3,,
Picea abies,TRSH,needle; base,NISP,,10,35,8,3,1,14,36,22,12,19,12,20,6,2,8,14,11,12,10,33,4,3,4,3,2,71,5,,8,2,3,3,4,6,4,,44,6,21,5,,,,5,1,2,,1,1,4,4,,4,4,,7,2,,2,7,3,1,1,5,,6,3,,,4,5,7,2,,
Picea abies,TRSH,seed,NISP,,1,2,,,,,,,,,,2,,,1.5,,1,1,1,,3,1,1,,1,1,,1,3,1,1,1,1,,,1,1,1,2,1,,2,2,,2,,,1,1,,,,,,,2,,1,1,1,4,,,,2.5,,,1,1,,,,,,
Picea abies,TRSH,seed wing,NISP,,2,1,,1,,,1,,,1,1,,2,,,1,1,2,1,,2,1,1,1,1,2,,2,2,1,,1,3,2,,2,3,2,,1,1,,1,,,,1,,2,,,,,2,1,2,1,,1,2,1,,,1,,,2,1,,1,,,,,
Picea abies,TRSH,bud,NISP,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,twig,NISP,,2,15,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,bud scale,NISP,,,1,,,,,,,,1,,,,,1,2,0.5,,1,1,,,,,,1,,1,,,,3,,2,,2,,,,,,1,,,,,1,,,,,,,,1,,,2,1,,1,,,1,,,,1,,2,,,,,
Picea abies,TRSH,ovule scale,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,bark,NISP,,,,,1,,6,,4,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,
Picea abies,TRSH,microsporophyll,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
